Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
500,"Bewick Hill Camp, Northumberland (Old Bewick West)",Suffering from localised and limited stock erosion,Rough pasture and bracken moorland,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
501,"Halidon, Northumberland (Halidon Hill Settlement; Hallydown Hill)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
502,"Whiteadder Bridge, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
503,"Brinklaw, Northumberland (Brinkburn Priory Promontory Fort)",In poor condition,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
504,"Castle Hill Callaly, Northumberland (Callaly Hill)",Well preserved,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
505,"The Old Hag, Northumberland",In poor condition,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
506,"Tinkler's Dene, Northumberland (Tinker's Dene; Rabbit Hall Or Rabbit Hill)",NA,Rough grassland,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
507,"Shaftoe Crags, Northumberland",NA,Rough grassland; solid geology - Millstone Grit,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
508,"East Moneylaws Camp, Northumberland (Castle Hill)",Condition poor and variable across the hillfort,NA,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
509,"Mindrummill Farm 1, Northumberland (Mindrim-Mill Farm)",NA,Small plantation in the SW and arable elsewhere,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No
510,"Camp Hill, Downham, Northumberland (Downham Camp)",Well preserved,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
511,"Mindrummill Farm 2, Northumberland (Mindrim-Mill Farm)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
512,"Dendon, Northumberland (Little Mill)",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
513,"Buttony Wood Camp, Northumberland",In the N the defences can still be seen as two arcs on satellite imagery,"The site was under varied land use throughout the 20th century, both to the N and S of the dyke. It is currently under pasture in the N and reafforested in the S. Quarrying has also occurred in the S.",Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
514,"Curls Walls, Northumberland (Carls Walls)",Badly damaged,NA,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
515,"Kay Hill, Northumberland (Low Thor Law)",Slight earthworks,NA,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
516,"Ros Castle, Northumberland (Ross Castle)",The pathways installed by the National Trust to protect the site are now also suffering from visitor erosion (Hardie 2010).,Presented to the National Trust in 1936 as a memorial to Sir Edward Grey. The land to the E of the boundary wall is owned by the National Trust and it lies partly within Chillingham Grade II Registered Park and Garden.,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
517,"Hepburn Crags Camp, Northumberland",Vulnerable to plant growth. On Heritage at Risk Register (2015).,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
518,"Blue Crags, Northumberland",Rampart destroyed in the N,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
519,"Oxhill Plantation, Northumberland",Survives as a low stone wall,NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
520,"Gunnerton Crag Camps, Northumberland (West Gunnar Peak)",NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
521,"Craster Heugh, Northumberland","The site survives in good condition in part, but is now cut by a field boundary running SW-NE with plough damage occurring to the S of the boundary.",Appears on satellite imagery to be rough grassland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
522,"Chesters, Northumberland",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
523,"The Ringses Camp Doddington, Northumberland",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
524,"Fenton Hill Camp, Northumberland",NA,"Grassland, with evidence of ploughing in the past.  Some tree cover on ramparts in the N.  Ramparts in the S now destroyed for woodland",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
525,"Dod Law West, Northumberland (West Camp Dod Law)",Ramparts have been mutilated in places,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
526,"Roughting Linn Camp, Northumberland",The site is now considered to be at risk from encroaching tree and scrub growth,Scrub and tree growth,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes
527,"Farhill Crags, Northumberland",NA,Quarry,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
528,"Crook Hill Easington, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
529,"Spindlestone Heugh, Northumberland","Survives in good condition, but the wall in the E is reduced.",NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
530,"Camp Plantation, Northumberland (North Charlton Camp)",Vulnerable to plant growth. On Heritage at Risk Register (2015).,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
531,"Shipley Camp, Northumberland (Shipley Moor)",Survives in fair condition but some damage has occurred in the E,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
532,"Sandy House Camp, Northumberland (Sandy Ouse Camp)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
533,"Flodden Edge Camp, Northumberland",Heritage at Risk register - vulnerable to ploughing,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
534,"Blackchesters, Northumberland",Damaged by coal working and afforestation,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
535,"Broomie Knowe, Northumberland",Inner ditch peters out on the S,Under woodland in the SE,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
536,"Fordwood Camp, Northumberland",NA,NA,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
537,"Flodden Camp, Northumberland (South Flodden)",Vulnerable to ploughing,Gravel terrace of the River Till,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
538,"Kaimknowe Fort, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
539,"Harehaugh Camp, Northumberland",An evaluation carried out in 2002 using coring and targeted excavation to assess the preservation of the ramparts showed that rabbit burrowing has caused considerable damage to the earthworks. On Heritage at Risk Register (2015). Conservation work on the ramparts commenced in 2015,Upland heath,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
540,"Lanternside, Northumberland (Campville Cliff Fort)",Levelled in the W and built over,NA,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
541,"The Ringses Camp, Beanley Moor, Northumberland (Beanley Ringses)",Well preserved in the S and E but eroded on the N and W,"Lies on open moorland, bracken covered in summer",Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
542,"Jenny's Lantern, Northumberland",Very damaged in the SE,Rough grazing and bracken,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
543,"Beanley Moor, Northumberland (Beanley Plantation)",Said to survive in good condition,Occupies a clearing in woodland.  Ramparts are bracken covered,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
544,"Shawdon Wood House, Northumberland",Badly mutilated,The site is now under pasture with plantation within the enclosed area. Post-medieval ridge and furrow ploughing was recorded on aerial photographs taken in 1946,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
545,"Crawley Dean, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
546,"Hetchester Camp, Northumberland",Quarried,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
547,"Soldiers Fold, Northumberland",Rampart levelled in the N for a track,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
548,"Witchy Neuk, Northumberland (Witchy Nick)",NA,Rough grassland and heather,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
549,"Horsley Wood, Northumberland",NA,"Woodland, in an area of old coal pits",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
550,"Norham Castle, Northumberland",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
551,"Lordenshaws, Northumberland (Lurgenshaws)",NA,"Upland heathland, bracken covered in summer",Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
552,"Green Hill, Northumberland",Extant but in poor condition,NA,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
553,"Loanend, Northumberland (Union Bridge)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
554,"The Ringles, Northumberland",A field wall cross the western extent of the hillfort and the ramparts survive well to the W of this.  Elsewhere it is considerably reduced by ploughing.,"Arable in the past, now pasture",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
556,"Reaveley Hill Camp, Northumberland (Ewe Hill)",Survives in fair condition but damaged by stone robbing,Moorland pasture,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
558,"Middle Dean Camp, Northumberland (Middledene Camp)","Lies within Ingram Farm (NU01NW 187) an area of intensive and extensive prehistoric to post medieval settlement, agricultural and funerary activity.",Satellite imagery suggests scrub and bracken or possibly heath,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
559,"Brough Law, Northumberland",NA,Rough grassland,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes
560,"Wether Hill, Northumberland (Corbie Cleugh Camp)",NA,Moorland,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
561,"Castle Knowe Camp, Northumberland (Clinch Castle; Castle Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
562,"Old Fawdon Hill, Northumberland","The remains of the rampart survive as a low, turf covered stony scarp",Rough grassland within the Northumberland National Park.,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
563,"Brandon Hillhead, Northumberland",Cut by the road,NA,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
564,"Pawston Hill Camp, Northumberland (Paston Hill Camp)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
565,"Bowmont Hill Camp, Northumberland",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
566,"Castle Hill Camp, Northumberland (Howtel Castle Hill)","Damaged and reduced by ploughing, destroyed in the E. Heritage at Risk register - moderate animal burrowing.","Lies within two fields, pasture in N, arable in S",Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
567,"Little Hetha Camp, Northumberland (Little Hetha Hillfort)",Disturbed by stone robbing and later settlement. Land under Entry Level plus Higher Level Stewardship,NA,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
568,"Mid Hill Camp, Northumberland",NA,Rough grassland,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
569,"North Black Hagg, Northumberland (Ring Cairn)",In poor condition,NA,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
570,"Pressen Hill, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
571,"Sinkside Hill, Northumberland",NA,Tussocky grass,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
572,"St. Gregory's Hill, Northumberland",In fair condition but badly robbed.  Lies within the Northumberland National Park,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
573,"West Hill, Northumberland (Newton Hill Camp)",Lies within the Northumberland National Park,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
574,"Burrowses Camp, Northumberland",NA,Railway line,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
575,"Great Wanney, Northumberland",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
576,"Fenhamhill, Northumberland","Traces of the rampart were still visible on 1995 OS vertical air photographs, although no longer visible on GoogleEarth satellite imagery.",NA,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
577,"Kyloe Camp, Northumberland (Kyloe Crags)",Some damage caused by afforestation but otherwise in good condition,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
578,"Kentstone Hill, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
579,"Fenham, Northumberland",Coastal erosion,NA,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
580,"Howick Hill Camp, Northumberland (Howick Haven)",NA,Ploughed in the past,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
581,"Hetton Dean East, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
582,"Scotch Camp, Northumberland",NA,Former quarry now under pasture,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
583,"Whittle Hill, Northumberland",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
584,"Groat Haugh, Northumberland",NA,NA,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
585,"Chester Crane Camp, Northumberland (Canny Shiel)",NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
586,"Murton High Crags, Northumberland",Part excavated,It lies partially on pasture and partly on rough ground,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
587,"Colwell Hill Camp, Northumberland (Camp Hill)",NA,Some gorse on the ramparts,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
588,"Fawdon Hill, Northumberland (Girsonfield)",Cut by a modern field wall SW-NE,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
589,"West Hills Camp, Northumberland",Partially levelled by ploughing in the W,"Ploughed in the past, now rough grassland with gorse defining the ramparts in places",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
590,"Old Rothbury, Northumberland (Kimmer Nod)","Included in the 2015 Heritage at Risk Register, with extensive, significant problems from plant growth",A modern field wall crosses the enclosure SW to NE.  Possible arable in the NW with encroaching tree cover and bracken in the SE.  A road or track cuts across the  hillfort SE to NW.,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
591,"Fallowfield, Northumberland",Cut by modern field walls running SW-NE and NW-SE,NA,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
592,"Wall Crags, Northumberland",Walls have been levelled in places. Quarrying within the interior.  Farm walls run N-S and E-W across the enclosure,Relatively rough ground,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
593,"Warden Hill, Northumberland (Warden Law)",Denuded and damaged by quarrying,Geology - Millstone Grit Series,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
594,"Camp House, Northumberland",No longer visible on recent satellite imagery,Rough grassland,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
595,"Tosson Burgh, Northumberland (Burgh Hill Camp)",NA,Ploughed in the past,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
596,"The Kettles, Northumberland (Maiden Castle; Greenside Camp; Cauterdale)",NA,Possibly masks internal occupation,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
598,"Porth Joke, Inner Kelsey, Cornwall (Kelsey Head, Cubert)",Sea eroding site.,Coastal grassland and bare rock.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
599,"Caer Bran, Cornwall (Caerbran Castle; Hill Castle)",Inner ramparts robbed of stone and part gone. Field boundary crosses site and numerous pits and spoil heaps associated with mineral prospecting and extraction from medieval period onwards.,Dense moorland vegetation. Spoil heaps.,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
600,"Kilcobben Cove, Cornwall",Coastal erosion.,Coastal grassland and bare rock.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
601,"Castle An Dinas, St Columb Major, Cornwall (Castle-An-Dinas)","Site damaged by early 20th century Wolfram mine and 20th century agriculture, including fencing. Pond in interior to N. Tracks pass through ramparts to E and W, with other modern gaps. Otherwise in good order.",Pasture and early 20th century Wolfram mine.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
602,"Ashbury Camp, Cornwall (Ash Bury (Camp); Ashbury)","General good preservation, but SE entrance mutilated by quarrying. Both outworks cut by modern farm-track running NW from Ashbury Farm.",Trees on ramparts. Interior pasture. Farm track and quarrying.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
603,"Berry Castle, Cornwall (Berry)","Much surface quarrying for granite and tin prospecting over all site, but fair condition generally.",Moorland site with scrub. Much quarrying features.,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
604,"Bishops Wood, Cornwall","Well-preserved, but wooded, site.",Dense copiced ancient woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
605,"Blacketon Rings, Cornwall (Blacketon Camp)","Much damaged site, with farm in NE quadrant. On Heritage at Risk Register (2015).",Farmed.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
606,"Bury Castle, Cornwall","Damaged in part; especially entrance, but elsewhere generally well preserved.  West side scrub covered. Second outer rampart to N lies in pasture, occasionally ploughed, and with the bank spread. Numerous large granite boulders spread over S half of interior.",W side of the hillfort covered by dense scrub vegetation.,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
607,"Cadson Bury, Cornwall",Well-preserved National Trust property. On Heritage at Risk Register (2015).,Scrub covered to SE and formerly ploughed and seeded. Wooded E slopes to river.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
608,"Caer Dane, Cornwall",Only fragments of ramparts now visible.,Wooded inner circuit; pasture outside.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
609,"Carn Brea, Cornwall",Fairly good condition.,Moorland site.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
610,"Carnsew, Cornwall","Much mutilated by farm, railway and park construction. All of W side gone. On Heritage at Risk Register (2015).","Farm, railway and park construction.",Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
611,"Carthamartha, Cornwall (Carthamartha Wood; Inney Fort)","Ditch mostly filled and incomplete, but generally survives well despite tree cover.",Dense woodland over total site.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
612,"Carvossa, Cornwall",Much damaged and affected by farming operations and farm buildings.,Farmed.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
613,"Castle Canyke, Cornwall","Surrounded by development (Bodmin). Plough damage. The outer defences underlie modern field boundaries which also cross the centre of the hillfort dividing it into quarters with a 19th century field barn and a later water tank at the centre. It is also cut by a road to NW. Nevertheless, one of the largest hillforts in Cornwall surviving well.","Pasture, road and developments.",Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
