Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
489,"Easter Pinkerton, East Lothian (Thurston)",0.2,-1.0,-1.0,-1.0,0.2,1.1,3.0,3.0,3.0,3.0,3.0,3.0,Three ditches presumably accompanied by upcast ramparts,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
491,"Gallow Law, Northumberland (Clennell Street; Castle Hills)",0.6,-1.0,-1.0,-1.0,0.6,1.21,2.0,2.0,2.0,2.0,2.0,-1.0,Two turf-covered earth and stone walls with occasional facing stones. The inner wall encloses an area of 140m E-W by 50m N-S and the outer wall an area of 170m E-W and 60m N-S. No ditch.,Estimated from satellite imagery,Ramparts merge in the N and S to form a single large bank,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
492,"Camp Knowe, Northumberland (Clennell Hill)",0.48,-1.0,-1.0,-1.0,0.48,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,Single rampart in the NW 2-3m wide and 0.3m high. Elsewhere enclosed by a rampart 4m wide and 1-2 high.  A 5m wide berm separates the rampart from a 4m wide and 1m high counterscarp. No ditches are recorded.,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
493,"Barcombe Hill, Northumberland",0.4,-1.0,-1.0,-1.0,0.4,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,Earth and stone ramparts. The inner rampart measures up to 2m wide and the outer rampart 3m wide and 0.6 high.  A ditch 6m wide and 1m deep lies between.,NA,NA,NA,NA,Limestone flagged base to the turf rampart,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
494,"Bardon Mill, Northumberland",0.46,-1.0,-1.0,-1.0,0.46,0.57,1.0,1.0,1.0,1.0,-1.0,1.0,"The enclosure is approximately rectilinear, 107m E-W by 54m N-S surrounded on three sides by  an internal ditch 4m wide and 1m deep and a well preserved outer rampart between 4-6m wide. The terminals of the ramparts face on to the crest of a steep cliff face which forms the northern perimeter of the enclosure","Measurements approximate, taken from satellite imagery",NA,NA,NA,NA,NA,Internal,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
495,"Chesters Hill, Northumberland",0.64,-1.0,-1.0,-1.0,0.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,"Univallate measuring 78m by 100m enclosing a D-shaped area of 0.64ha. It comprises a 12m wide ditch 0.4-16m deep and an external counterscarp bank. The is no internal rampart. Chapel Crag, now wooded, forms the SW side.",NA,Counterscarp bank only,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
496,"Bantam Hill, Northumberland (Belsay Hill)",0.47,1.75,-1.0,-1.0,1.75,-1.0,4.0,4.0,4.0,-1.0,-1.0,2.0,"Promontory fort measuring 72m E-W by 88m N-S. It comprises outer, probably bivallate banks, enclosing 1.75ha and 30m further upslope to the E, a second pair of  banks enclose an area of 0.47ha. The inner rampart survives up to 3.5m high. An external ditch 1m deep lies at either end of the arc with a counterscarp bank 0.7m high. The double outer ramparts now survive to a height of 0.3m with a medial ditch 0.6m deep. The ramparts are in poor condition and reduced to turf-covered scarps.",Both lines of defence are considered to be contemporary,None in the W,NA,"Described as turf covered, any further construction material is not recorded",NA,NA,NA,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
497,"Harehope Hill, Northumberland",0.2,-1.0,-1.0,-1.0,0.2,-1.0,3.0,3.0,2.0,2.0,3.0,3.0,"In the S, two well-defined banks averaging 1.7m high with a section of ditch between. In the N the cropmark remains of three banks with three associated external ditches with the two outer banks corresponding with the extant banks to the S. The innermost bank is wider.",NA,NA,NA,In the S,NA,NA,"A single length of ditch is extant in the S, in the N three ditches have been identified from cropmarks",No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
498,"Randy Burn Camp, Northumberland (Percy's Cross)",0.68,-1.0,-1.0,-1.0,0.68,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,Almost circular ditch enclosing 0.68ha  Comprises an outer ditch 2.5m wide which circles around the base of the hill.  Internally two 0.5m wide palisade trenches lying 8m apart and measuring 44m and 68m in diameter run concentrically to the ditch.,Earlier palisaded enclosure,NA,NA,Two palisades,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
499,"Bewick Hill Moor Camp, Northumberland (Blawearie Fort)",0.19,-1.0,-1.0,-1.0,0.19,1.04,2.0,1.0,2.0,2.0,2.0,2.0,"Substantial inner rampart flanked in the W by a single eternal ditch 0.6m deep. The bank reaches a maximum height of 1.5m internally and 4.5m externally on its western side. Scarping on the remaining sides gives a maximum height of approximately 10m. The second, narrower outer bank is absent where the ground falls away sharply in the N.  An external ditch protects the area in the W and SW where it is naturally weaker. A 7-20m wide berm separates the the inner and outer ramparts in the W and NW creating an additional enclosed area or annex.",Estimated from satellite imagery,Discontinuous lengths of bank and ditch,NA,"Unrecorded, but reference to stone in the rampart banks suggests and earth and stone bank",NA,NA,NA,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
500,"Bewick Hill Camp, Northumberland (Old Bewick West)",0.39,0.4,-1.0,-1.0,0.4,0.8,3.0,3.0,1.0,1.0,3.0,5.0,Western enclosure - Two banks and ditches encloses an area of 0.39ha. The inner rampart is an earthen bank with a revetment of rough stones.  It descends steeply to the rock-cut ditch and continues along the cliff edge. The middle rampart comprises a core of small boulders with soil upcast from ditch.  Eastern ditch comprises two banks and ditches but of different construction with the banks formed from upright stones 3.8m apart with a rubble infill.  It has survived less well in the NW corner.  It continues as traces of rough walling in the S. The hillforts are enclosed by a further bank surviving between 0.3-1.2m high with an outer ditch with a maximum depth of 0.6m.,"Western enclosure 0.39ha, eastern enclosure 0.4ha",Slighter banks run partially along the cliff edge in the S,NA,NA,NA,NA,Described as two ditches for each enclosure and a further ditch associated with the outer enclosure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
501,"Halidon, Northumberland (Halidon Hill Settlement; Hallydown Hill)",0.26,-1.0,-1.0,-1.0,0.26,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,Oval cropmark measuring 69m by 47m enclosing an area of 0.26ha and interpreted as two ditches with a bank between.,NA,NA,NA,NA,NA,NA,"The cropmark of two ditches have been recorded on APs, lying one on each side of a bank ",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
502,"Whiteadder Bridge, Northumberland",0.48,-1.0,-1.0,-1.0,0.48,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,"Two ditches can be determined, a wide outer ditch and a narrower inner ditch, possibly a palisade trench",Inner ditch possibly a palisade,NA,NA,NA,NA,NA,Second ditch possibly a palisade trench,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
503,"Brinklaw, Northumberland (Brinkburn Priory Promontory Fort)",2.8,-1.0,-1.0,-1.0,2.8,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,"Earthen bank in the NE with a possible outer ditch which might continue as a holloway in the SE and a fragment of outer bank, possibly a counterscarp",NA,NA,NA,NA,NA,NA,Possible outer ditch,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
504,"Castle Hill Callaly, Northumberland (Callaly Hill)",0.4,-1.0,-1.0,-1.0,0.4,2.6,1.0,1.0,1.0,1.0,1.0,1.0,"Univallate, measuring 80m E-W by 50m N-S.  Defended in the N by a steeply scarped bank and elsewhere by an internal bank 3m wide and 0.8m high showing walling in places, a ditch 12-17m wide and 3-7m deep  and a counterscarp bank 4m wide and 2-3 high.",The ditch is possibly a later medieval feature associated with the castle. Several Bronze Age stone coffins were discovered during quarrying on the N side of Castle Hill In the late 19th century,Naturally defended in the N by a steep scarp,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
505,"The Old Hag, Northumberland",0.19,-1.0,-1.0,-1.0,0.19,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,"Small, roughly oval enclosure  60m by 40m. Enclosed area surrounded by scarped banks 1.2m high and 5m wide with traces of a further inner bank in the E. Twenty-five metres to the S of the enclosure are outer works comprising a bank 5m wide and 0.1m high which merges into the sloping ground towards the Callaly Burn.  Beyond this is a ditch 10m wide by 2m deep, outside of which is a further bank 5m wide by 0.5m high, possibly a counterscarp.",NA,"Only oval enclosure has a complete circuit, outworks lie concentrically in the S.",NA,NA,NA,NA,Ditch in the S,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
506,"Tinkler's Dene, Northumberland (Tinker's Dene; Rabbit Hall Or Rabbit Hill)",0.24,-1.0,-1.0,-1.0,0.24,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Enclosed by a single rampart measuring 8m wide and 1.5m high.  Evidence for a ditch, 4m wide survives on the northern side, although it is presumed to be filled in elsewhere.   It takes advantage of the natural slopes and Tinker's Dene Gully in the W and N respectively",NA,NA,NA,NA,NA,NA,In the N but probably in-filled elsewhere,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
507,"Shaftoe Crags, Northumberland",0.9,-1.0,-1.0,-1.0,0.9,-1.0,3.0,3.0,-1.0,-1.0,3.0,0.0,"The enclosure measures 166m E-W by 70m transversely, enclosing approximately 0.9ha.  Naturally defended in the S and SW by precipitous cliffs, the enclosure is defended in the N and NE by three earth and stone ramparts 7-8m wide and 0.6-2.5m high.  The ramparts are thought to have once extended around the eastern side.  No ditch.",NA,N and NE,NA,NA,NA,NA,NA,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
508,"East Moneylaws Camp, Northumberland (Castle Hill)",0.42,-1.0,-1.0,-1.0,0.42,1.8,3.0,2.0,3.0,3.0,1.0,3.0,"Oval in form measuring 110m SW to NE by 55m transversely, enclosing an area of 0.42ha. The ramparts followed the contours of the hill in all but the SE where the land is almost level and the hillfort is more heavily defended. The inner rampart appears almost complete with traces of a second rampart in the N and E and two ramparts and three ditches in the S and SE lying concentrically to the inner rampart",Whole site footprint estimated from 1937-61 OS mapping,Only the inner enclosure is recorded as complete,NA,Assumed to be earthen as no stonework is recorded,NA,NA,In the S and SE,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
509,"Mindrummill Farm 1, Northumberland (Mindrim-Mill Farm)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,Reported as circular and bivallate but the site was not measured,NA,Now destroyed,NA,NA,NA,NA,Unknown,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
510,"Camp Hill, Downham, Northumberland (Downham Camp)",0.36,-1.0,-1.0,-1.0,0.36,-1.0,2.0,1.0,2.0,1.0,1.0,1.0,Rectilinear enclosure measuring 101m NE to SW by 46m transversely taking advantage of the natural precipitous slopes especially in the N.  In the NE its approaches are defended by a substantial bank and ditch. Traces of a second rampart lie in the SE.,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
511,"Mindrummill Farm 2, Northumberland (Mindrim-Mill Farm)",0.1,-1.0,-1.0,-1.0,0.1,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,Recorded as bivallate with the inner rampart 64m in diameter (0.1ha),NA,Destroyed,NA,NA,NA,NA,Unrecorded,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
512,"Dendon, Northumberland (Little Mill)",0.19,-1.0,-1.0,-1.0,0.19,0.4,2.0,2.0,2.0,2.0,2.0,2.0,"Two earth and stone ramparts and unhewn boulders surround the hillfort with a ditch between in the E, S and W enclosing a total area of approximately 0.4ha.  Where the ground is higher in the S a further outer ditch was created from soil dug out for the rampart.",Areas estimated from satellite imagery,NA,NA,NA,NA,NA,"Ditch in E, S and W, with further ditch in the S",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
513,"Buttony Wood Camp, Northumberland",0.25,-1.0,-1.0,-1.0,0.25,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,"Almost circular in plan, comprising two banks probably with a medial and outer ditch, it is estimated as having a diameter of 60m, enclosing 0.25ha",NA,Probably two banks although these show poorly as cropmarks. A third bank was recorded during a field survey in 1955 but it unverified,NA,NA,NA,NA,The presence of a third ditch is unverified,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
514,"Curls Walls, Northumberland (Carls Walls)",0.35,-1.0,-1.0,-1.0,0.35,-1.0,4.0,-1.0,4.0,4.0,4.0,2.0,"Described as both univallate (Jobey 1965, 63) and multivallate from aerial interpretation, with up to four ramparts, the innermost of which is best preserved measuring 96m by 56m, although all have been spread by the plough. The remaining ramparts terminate downslope towards the stream and have been plough-levelled.  The inner bank has a maximum height of 1.5m and an external ditch 0.3m deep.","2013 GE imagery appears to show at least two ditches in SE, with the land under plough.  Enclosed area estimated from satellite imagery",Up to four ramparts based on cropmark evidence,NA,"No description of banks given, presumed earthen",NA,NA,The number of ditches is uncertain,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
515,"Kay Hill, Northumberland (Low Thor Law)",0.23,-1.0,-1.0,-1.0,0.23,-1.0,2.0,1.0,2.0,1.0,1.0,2.0,"Two narrow ditches with a wide bank between. The bank, which has an average width of 10m and height of 1m, has been spread by ploughing. A possible further bank lies in the SE.",NA,Possible further bank in the SE,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
516,"Ros Castle, Northumberland (Ross Castle)",1.24,-1.0,-1.0,-1.0,1.24,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Univallate contour fort of 1.24ha. The enclosing work is an elongated oval being slightly wider in the N measuring approximately 170m N-S by 90m E-W. It comprises a single earth and stone bank approximately 0.2-1m high internally and 1.5-3m externally. Slight traces exist of an inner face between which an inner rubble core has been exposed by erosion. An intermittent external ditch lies in the S, E and NE. In the W the rampart has been formed by scarping the natural slope. A substantial rock outcrop is incorporated into its SE side.",NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
517,"Hepburn Crags Camp, Northumberland",0.31,-1.0,-1.0,-1.0,0.31,0.4,1.0,1.0,1.0,1.0,1.0,1.0,The earth and stone bank 3-7m wide and 0.5-1.5m high has an outer facing of stones and walling which incorporates some of the natural rock outcrops.  A possible external ditch lies in the E.,Estimated from satellite imagery,NA,NA,Incorporates natural outcrops,NA,NA,There is some uncertainty over the ditch which is also interpreted as a trackway,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
518,"Blue Crags, Northumberland",0.64,0.31,-1.0,-1.0,0.64,1.4,1.0,1.0,1.0,1.0,1.0,0.0,"The enclosure measures 192m NW-SE by 70m transversely.  An earth and stone rampart 5m wide and 1m high borders the outcrop on all sides, but has now been lost in the N to quarrying. No ditches are recorded.",Divided internally into two compartments with internal areas of 0.64m and 0.31m.  The smaller enclosure is possibly an annex. Measurements have been calculated from satellite imagery,Rampart destroyed in the N,NA,NA,Interior only excavated,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
519,"Oxhill Plantation, Northumberland",0.25,-1.0,-1.0,-1.0,0.25,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Irregularly shaped enclosure measuring a maximum of 65m E-W by 55m N-S.  Steep natural slopes to the N, E and W.  A single rampart comprising a low stony bank with a maximum surviving height of 0.8m and width of 2m in the NW and SE. Traces of a possible ditch 1.3m wide have been recorded in the S.",Area is estimated from dimensions and map,NA,NA,Stony bank,NA,NA,On the S side only ,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
520,"Gunnerton Crag Camps, Northumberland (West Gunnar Peak)",1.6,-1.0,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,No evidence other than small lengths of low rubble bank,Size of enclosing area is based on the Romano-British settlement,Unknown,NA,NA,Low rubble banks of uncertain origin,NA,NA,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
521,"Craster Heugh, Northumberland",0.18,-1.0,-1.0,-1.0,0.18,-1.0,3.0,3.0,3.0,1.0,1.0,1.0,"Up to three earth and stone ramparts and a single ditch.  In the E the inner and best preserved of the ramparts stands 1.84m high and 10.8m wide including the ditch.  The rampart is now turf-covered but large stones can be seen within the structure. The middle rampart measures 5.8m wide and 0.87m high.  There is no evidence for an associated ditch.  The outer rampart which is now plough-damaged in the SE measures 0.35m high by 10.8m wide. A further bank measuring 6m wide and 0.6, high has been added to the defences on the NE side which sits between the middle and outer ramparts. A single bank lies in the N and W where it is protected by the crags of the Heugh. Only one rampart survives in the S.",NA,NA,NA,NA,NA,NA,Single ditch in the E,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
