Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
635,"Veryan Castle, Cornwall (Ringarounds)",2.0,2.0,NA,NA,NA,"Probable original entrance from the outer enclosure to inner to SE, now gap c. 6m wide between E bank and scarp on W. Original entrance into outer enclosure to S, where approached by a hollow way.",Simple Gap (South east); Hollow Way (South),No,No
636,"Warbstow Bury Camp, Cornwall",5.0,4.0,Modern gap in outer rampart on SW.,"Outer rampart has two simple entrance gaps to NW and SE, the inner rampart with two corresponding inturned entrances, also to NW and SE.",NA,"Outer rampart has two simple entrance gaps to NW and SE, the inner rampart with two corresponding inturned entrances, also to NW and SE. Modern gap in outer rampart on SW.",Simple Gap (North west); Simple Gap (South east); In-turned (North west); In-turned (South east),No,No
637,"Trencrom Castle, Cornwall",6.0,2.0,C. four modern gaps.,NA,NA,"E and W entrances, both with pair of granite jamb stones with rampart slightly inturned and widened. Both entrances have to 6m wide hollow ways leading from them. C. four modern gaps. Footpath passes through probably modern gaps to N and S.",In-turned (East); Hollow Way (East); In-turned (West); Hollow Way (West),No,No
638,"Black Head, Cornwall",1.0,1.0,NA,NA,NA,"Present causeway gap through middle of banks, and original, now damaged, entrance probably on W side.",Simple Gap (West),No,No
639,"Carn Les Boel, Cornwall",1.0,1.0,NA,Possible only - not determined.,NA,"Bank curves in towards two c. 2m long stones in centre of ridge, 2.5m apart, one recumbent to N, one standing to S, have been suggested as forming entrance, but this has also been questioned.",In-turned (North east),No,No
640,"Bosigran Castle, Cornwall",1.0,1.0,NA,NA,NA,To S central entrance small gap in rubble bank possibly original entrance and now blocked.,Blocked (South),No,No
641,"Chynhalls Point, Cornwall (Chynhalls; Chynalls)",1.0,1.0,NA,NA,NA,Original entrance probably at centre of ramparts.,Simple Gap (North west),No,No
642,"Crane Castle, Cornwall",0.0,0.0,NA,NA,NA,No trace of entrance - probably lost.,NA,No,No
643,"Dodman Castle, Cornwall (Dodman Point; The Dodman)",-1.0,1.0,Numerous gaps. Total not defined.,NA,NA,"Numerous gaps, the original and blocked entrance probably in the middle.",Blocked (South east),No,No
644,"Griffin's Point, Cornwall (Liveloe; Liveloe Head)",1.0,1.0,Entrance adjacent to cliff face.,NA,NA,"Entrance gap on SE towards cliff edge where passes through inner earthwork, running across ditch on causeway 3m wide. Possible outwork protecting entrance.",Simple Gap (South east); Outworks (South east),No,No
645,"Lankidden, Cornwall (Carrack; Carrick Luz Fort; The Castle; Arrowan)",1.0,1.0,Modern track passes through gap in bank.,NA,NA,Some doubt as to whether the track that passes through the bank and into the interior of the site is original.,Simple Gap (East),No,No
646,"Little Dennis, Cornwall (Dennis Head; Little Dinas)",0.0,0.0,Not recorded.,NA,NA,None recorded.,NA,No,No
647,"Maen Castle, Cornwall",1.0,1.0,NA,NA,NA,"Well-preserved and impressive, splayed, gateway entrance, 3.7m long on E, with causeway, and lined with stone 'curtain walls' and roadway, rammed hard with earth and stone, and containing later post medieval shelter. Sited off centre.",Other Forms (East),No,No
648,"Park Head, Cornwall",0.0,0.0,No gaps visible,NA,NA,"No entrance determined, although ditch causewayed, but no gap in the bank.",NA,No,No
649,"Penhale Point, Cornwall",4.0,1.0,Four visible breaches in ramparts have probably mining access.,"Various theories, but original entrance not determined.",NA,"Various theories, but original entrance not determined. Partly obscuring ramparts where meet S cliff edge is 19th century cinder dump, possibly site of original entrance. Limited excavation of the defences found that inner ditch between the two ramparts not continuous and that a causeway occupied part of this space. This suggests an offset entrance, which, when compared to known examples of this type of monument, would represent an advance in design implying very late Iron Age date for its construction.  Four visible breaches in ramparts probably mining access.",Oblique (South),No,No
650,"Rame Head, Cornwall",1.0,1.0,NA,NA,NA,Central entrance through rampart to NE.,Simple Gap (North east),No,No
651,"Redcliff Castle, Cornwall",1.0,1.0,NA,NA,NA,"Possible original entrance runs E-W through the centre of banks, passing over the ditches on a causeway 4m-7m wide and around 0.7m-1m high.",Simple Gap (West),No,No
652,"Rosemullion Head, Cornwall",0.0,0.0,NA,NA,NA,No entrances defined.,NA,No,No
653,"Round Wood, Cornwall (Roundwood)",1.0,1.0,NA,NA,NA,Original entrance to main enclosure at W centre with 5m wide causeway over ditch .,Simple Gap (West),No,No
654,"The Rumps, Cornwall (Rumps Point; Pentire Fort)",1.0,1.0,Entrance had possible superstructures.,NA,NA,Ramparts have staggered simple entrance gaps to S. Initial settlement had large timber gateway. Entrance had possible superstructures.,Over-lapping (South),No,No
655,"Trereen Dinas, Cornwall (Gurnard's Head; Gurnards Head)",0.0,1.0,Original entrance now filled in.,NA,NA,"Original entrance to S now filled up and not visible on surface, although modern path now runs over it.",Simple Gap (South),No,No
656,"Trevelgue Head, Cornwall",-1.0,1.0,Total gaps through ramparts not defined.,NA,NA,Probable original offset entrance through middle of ramparts in SE.,Oblique (South east),No,No
657,"Treryn Dinas, Cornwall (Logan Rock)",2.0,2.0,NA,NA,NA,Central inturned entrance with stone jambs to S innermost rampart. Simple causewayed central entrance to N outer rampart.,In-turned (South); Simple Gap (South),No,No
658,"Tubby's Head, Cornwall (Tubby Point)",1.0,1.0,NA,NA,NA,"Simple 2m wide causeway across ditch, with similar width gap in bank, provides only entrance near N end of site.",Simple Gap (North),No,No
659,"Winecove Point Complex, Cornwall (Wine Cove Point)",3.0,3.0,Central entrances at all promontories.,NA,NA,Central entrances on NE to all three sites. Simple gap to N site. Narrow gap to middle site. Causewayed staggered entrance to S site.,Simple Gap (North east); Simple Gap (North east); Other Forms (North east),No,No
660,"Cargoll, Cornwall",2.0,1.0,"Probable causeway 6m-7m wide across ditch on W, c. 7.3m N of where boundary bank joins rampart on S, modern access.  Eastern entrance",NA,NA,"Probable causeway 6m-7m wide across ditch on W, c. 7.3m N of where boundary bank joins rampart on S, modern access. Possible original E entrance.",Simple Gap (East),No,No
661,"Willapark, Boscastle, Cornwall (Willapark Camp, Willapark, Forrabury and Minster)",1.0,1.0,Footpath may indicate the original entrance,NA,NA,Old footpath which cuts through the bank (present path runs over the bank) probably indicates original entrance.,Simple Gap (South east),No,No
662,"Haughey's Fort, Armagh (Tray)",2.0,2.0,NA,NA,NA,"A 3m wide entrance flanked on either side by a palisade in the middle enclosing element is aligned towards the Kings Stables (Mallory 1995, 84; Conway 2006). A possible entrance in the inner enclosing feature is at least 15m in width (Mallory 2000b).",Simple Gap (South east); Simple Gap (North east),No,No
663,"Carrigillihy, Cork (Carrigillihy)",1.0,0.0,NA,NA,NA,Excavation confirmed that this was not the original entrance to the site. Excavator suggests that original entrance may have been lost through coastal erosion (O'Kelly 1952). Westropp's description in 1914 does not record any entrances. This may support the suggestion that the entrance is not original.,NA,No,No
664,"Caherconree, Kerry (Ballyarkane Oughter, Beheenagh, Gortaleen Mountain)",2.0,2.0,NA,NA,NA,Two possible original entrances comprising simple gaps in the enclosing elements. These are stone faced at the terminals and some natural erosion has occurred.,Simple Gap (North east); Simple Gap (North east),No,No
665,"Carn Tighernagh, Cork (Corrin Hill)",4.0,3.0,NA,NA,NA,"Partially in-turned entrance to WNW, comprising simple break in the inner and outer enclosing elements. A series of up to 3 banks and ditches abut the outer enclosing element around this entrance and may be an attempt enhance this entrance area. Two other small, simple gaps in the inner enclosing elements are apparent to the SE and SSE.",In-turned (North west); Simple Gap (South east); Simple Gap (South east),No,No
666,"Clashanimud, Cork (Cashel)",1.0,1.0,NA,NA,NA,"A simple entrance gap located on the W of the hillfort with a possible gate (O'Brien 2012, 221).",Simple Gap (West),No,No
667,"Caherdrinny, Cork (Claraghatlea South)",5.0,2.0,NA,NA,NA,"A simple gap consisting of a 1.5m wide gap through the bank to NW, flanked on either side by an external ditch, 1.4m wide and 0.5m in depth. A second possible original entrance is located in the SW, where a ramped gap, 6m wide, cuts through the bank at an angle.",Simple Gap (North west); Simple Gap (South west),No,No
668,"Claragh, Cork (Claraghatlea South)",5.0,1.0,Recent disturbance.,NA,NA,Up to four recent gaps have been created. A possible original entrance in the WNW comprising a 8m wide break in the hillfort bank.,Simple Gap (West),No,No
669,"Faha, Kerry (Begagh; Binn na Port; An Fhaiche)",2.0,2.0,NA,NA,NA,Two simple gaps in the inner and outer enclosing elements.,Simple Gap (East); Simple Gap (East),No,No
670,"Glanbane, Kerry",1.0,1.0,NA,NA,NA,"Geophysical survey has identified a possible out-turned entrance to the N. Here, the separation between the two enclosing elements narrow from 25 - 30m to approximately 8m and there is a gap of approximately 10m in both enclosing elements.",Out-turned (North),No,No
671,"Knockanacuig, Kerry (Lohercannan)",1.0,1.0,NA,NA,NA,"Entrance excavated by Dunne and Bartlett (2009, 226 - 227). Precise location and information regarding the possible entrance has not been published.",NA,No,No
672,"Dunmurry West, Kildare",0.0,0.0,NA,NA,NA,No recorded entrances.,NA,No,No
673,"Hughstown, Kildare (Carrigeen Hill)",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
674,"Kill Hill, Kildare",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
675,"Brandon Hill, Kilkenny",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
676,"Clonmantagh, Kilkenny (Mount Garret)",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
677,"Toor More, Kilkenny (Donaghmore, Corrandhu Hill)",3.0,3.0,NA,Two possible entrances revealed by geophysics at NNW of inner and outer enclosure. A single entrance revealed in outer enclosure at SE.,NA,"Simple gap in inner enclosure at NNW revealed by geophysics (O'Driscoll 2013). Width of possible entrance not recorded, as field fence prevented continuation of survey in this area. Simple gap in outer enclosure at NNW revealed by geophysics. Width of possible entrance not recorded, as field fence prevented continuation of survey, although the gap is at least 12m wide. Simple gap in outer enclosure to SE revealed by geophysics. Gap is approximately 4.5m wide.",Simple Gap (North); Simple Gap (North); Simple Gap (South east),No,No
678,"Freestone Hill, Kilkenny (Coolgrange)",1.0,1.0,NA,NA,NA,"Possible original entrance in the E, defined by a simple gap in the bank.",Simple Gap (East),No,No
679,"Ballinkillin, Carlow",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
680,"Ballylin, Limerick (The Black Hill)",3.0,3.0,The outer enclosing elements are slighter and more overgrown than the inner example. It is difficult to identify any entrances features.,NA,NA,There are three possible original entrances in the inner enclosure. The possible entrances to the SE and W comprise simple breaks in the bank with a causeway in the outer ditch. The excavated entrance at the NE was very slightly in-turned. In comprises a break in the bank and rock-cut ditch. Set just inside the ditch terminals are two large post-holes. The northernmost example was substantially bigger and produced a large number of packing stones. This may suggest that this post held a gate.,In-turned (North east); Simple Gap (South east); Simple Gap (West),No,No
681,"Castle Gale, Limerick (Carrig Henry, Darragh More, 'The Citadel')",2.0,2.0,NA,NA,NA,"Two corresponding breaks in inner and outer enclosing elements to S. This comprises a simple staggered break at the center of the enclosing features, 4m wide at the outer banks and 9m wide at the inner bank (Doody 2008, 541). A large upright slab flanks the E side of entrance in the inner enclosing element. Entrance in possible enclosing feature to N comprising a simple gap 6m in width at the center of the bank.",Simple Gap (South); Simple Gap (South); Simple Gap (North),No,No
682,"Friarstown 1, Limerick (Tara Hill)",0.0,0.0,NA,NA,NA,No obvious entrance features recorded. The enclosing elements have been heavily truncated by ploughing.,NA,No,No
683,"Friarstown 2, Limerick (Tara Hill)",0.0,0.0,NA,NA,NA,No obvious entrance features recorded. The enclosing elements have been heavily truncated by ploughing.,NA,No,No
684,"Knocksouna, Limerick",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
685,"Lisbane, Limerick (Kilbradran Hill)",4.0,4.0,NA,NA,NA,"Possible original entrance to the E and S of inner enclosing element, both comprising simple gaps approximately 3.5m wide. Breaks in outer bank to N (8m wide) and SE (6m wide) may be original.",Simple Gap (East); Simple Gap (South); Simple Gap (North); Simple Gap (South east),No,No
686,"Rathcannon, Limerick (Knocktwo, Knockdarnoe)",0.0,0.0,NA,NA,NA,No recorded entrance features.,NA,No,No
687,"Tory Hill, Limerick",0.0,0.0,NA,NA,NA,No obvious entrance features recorded.,NA,No,No
688,"Granard, Longford (Moatfield, Teemore)",1.0,1.0,NA,NA,NA,Possible original entrance to the NW comprising a 11m break in the bank. The S terminal is partially out-turned.,Out-turned (North west),No,No
